,1,2,3,4,5,6,7,8,9,10
20,0.9290000200271606,0.926800012588501,0.9376000165939331,0.9437999725341797,0.9431999921798706,0.940500020980835,0.9344000220298767,0.9258999824523926,0.9171000123023987,0.9366000294685364
40,0.9376999735832214,0.9447000026702881,0.948199987411499,0.9520999789237976,0.9470000267028809,0.9552000164985657,0.9423999786376953,0.9539999961853027,0.9474999904632568,0.9412999749183655
60,0.9383999705314636,0.9488000273704529,0.9527000188827515,0.9559000134468079,0.9585999846458435,0.9521999955177307,0.9534000158309937,0.9480999708175659,0.953499972820282,0.9506000280380249
80,0.9437999725341797,0.9478999972343445,0.953000009059906,0.9567000269889832,0.9578999876976013,0.9549000263214111,0.9613999724388123,0.95660001039505,0.9513000249862671,0.9492999911308289
100,0.9449999928474426,0.9505000114440918,0.9514999985694885,0.9617999792098999,0.9556000232696533,0.9607999920845032,0.9621999859809875,0.9555000066757202,0.9538000226020813,0.9527999758720398
