,1,4,7,10,13,16,19,22,25,28,31
20,0.7968000173568726,0.8896999955177307,0.9018999934196472,0.9139999747276306,0.920199990272522,0.8374000191688538,0.919700026512146,0.9243000149726868,0.9240999817848206,0.9269999861717224,0.9355999827384949
40,0.7351999878883362,0.7904000282287598,0.8313999772071838,0.923799991607666,0.8356000185012817,0.9341999888420105,0.9355999827384949,0.9394000172615051,0.8532999753952026,0.9417999982833862,0.9409999847412109
60,0.5945000052452087,0.9004999995231628,0.9133999943733215,0.9287999868392944,0.7361000180244446,0.9358000159263611,0.847100019454956,0.9406999945640564,0.8560000061988831,0.9258999824523926,0.8593000173568726
80,0.4189000129699707,0.6463000178337097,0.8287000060081482,0.573199987411499,0.6804999709129333,0.8546000123023987,0.677299976348877,0.7588000297546387,0.9416999816894531,0.8537999987602234,0.7681999802589417
100,0.5156000256538391,0.6485000252723694,0.732200026512146,0.7623999714851379,0.8438000082969666,0.7563999891281128,0.7612000107765198,0.9444000124931335,0.6478000283241272,0.5587999820709229,0.7639999985694885
